,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
1,ushuaia,-54.81,-68.31,43.81,52.0,0.0,9.66
2,sola,58.89,5.65,53.6,81.0,75.0,14.99
3,east london,-33.02,27.91,57.2,76.0,0.0,3.36
4,clyde river,70.47,-68.59,26.6,73.0,75.0,3.36
5,port alfred,-33.59,26.89,63.82,88.0,0.0,6.98
6,airai,-8.93,125.41,62.2,85.0,0.0,1.61
7,katsuura,33.93,134.5,64.45,100.0,92.0,4.85
8,arlit,18.74,7.39,90.19,14.0,0.0,2.62
9,upernavik,72.79,-56.15,33.67,100.0,80.0,22.97
10,hilo,19.71,-155.08,80.06,71.0,1.0,13.13
11,punta arenas,-53.16,-70.91,48.2,36.0,0.0,17.22
13,mutum,-19.82,-41.44,84.7,45.0,0.0,7.43
14,carnarvon,-30.97,22.13,56.53,22.0,0.0,8.1
15,dalaba,10.69,-12.25,71.02,97.0,48.0,1.95
16,broken hill,-31.97,141.45,47.89,63.0,0.0,3.62
17,seydi,13.34,7.75,84.79,46.0,0.0,5.64
18,jamestown,-33.21,138.6,42.22,44.0,0.0,2.84
19,butaritari,3.07,172.79,83.26,100.0,0.0,5.75
20,kapaa,22.08,-159.32,76.5,100.0,40.0,13.87
22,nagato,34.35,131.14,67.98,64.0,75.0,12.75
23,isangel,-19.55,169.27,68.41,100.0,92.0,26.78
25,qaanaaq,77.48,-69.36,21.07,100.0,20.0,8.32
26,nehe,48.48,124.88,41.59,72.0,0.0,5.19
27,newport,51.59,-3.0,60.04,67.0,0.0,4.7
28,yichang,30.77,111.32,62.2,96.0,92.0,4.97
29,cherskiy,68.75,161.3,23.41,99.0,12.0,2.73
30,biu,10.61,12.19,76.87,72.0,88.0,2.06
31,sechura,-5.56,-80.82,74.17,89.0,0.0,10.45
32,port elizabeth,39.31,-74.98,83.08,72.0,40.0,8.05
33,rikitea,-23.12,-134.97,71.65,100.0,8.0,22.86
34,bonthe,7.53,-12.5,81.01,89.0,36.0,4.97
35,beyneu,45.32,55.19,70.39,30.0,48.0,12.35
36,nyrob,60.74,56.73,48.07,82.0,92.0,13.8
38,panjakent,39.5,67.61,68.0,34.0,92.0,4.7
39,rawson,-43.3,-65.11,51.76,50.0,8.0,7.76
40,fosses,49.1,2.51,58.53,42.0,0.0,5.82
41,ribeira grande,38.52,-28.7,77.0,73.0,20.0,17.22
